year,inits,greek_name,council,actives,nm,size,gpa,serv_hrs
2020,ACO,AXΩ,PH,61,51,112,3.36,828
2020,AP,AΦ,PH,70,61,131,3.14,1942
2020,ATO,ATΩ,IFC,22,5,27,3.46,433
2020,BTP,BΘΠ,IFC,71,21,92,3.55,150
2020,CO,XΩ,PH,104,54,158,3.41,914
2020,DG,ΔΓ,PH,83,56,139,3.5,217
2020,DSP,ΔΣΦ,IFC,21,1,22,3.14,#N/A
2020,KDX,KΔX,PH,5,0,5,3.28,#N/A
2020,KKG,KKΓ,PH,88,44,132,3.46,553
2020,KS,KΣ,IFC,50,10,60,3.13,902
2020,ODP,ΩΔΦ,IFC,6,0,6,3.65,56
2020,PDT,ΦΔT,IFC,82,16,98,3.21,651
2020,PhPB,ΠBΦ,PH,101,57,158,3.4,323
2020,PKA,ΠKA,IFC,29,25,54,3.26,#N/A
2020,SC,ΣX,IFC,77,54,131,3.14,#N/A
2020,SN,ΣN,IFC,39,26,65,2.85,322
2020,SPE,ΣΦE,IFC,67,39,106,3.05,#N/A
2020,TRI,TRI,IFC,22,0,22,3.05,128
2019,ACO,AXΩ,PH,57,35,92,3.04,1654
2019,AP,AΦ,PH,78,57,135,3.01,1200
2019,ATO,ATΩ,IFC,28,14,42,3.24,#N/A
2019,BTP,BΘΠ,IFC,67,29,96,3.45,600
2019,CO,XΩ,PH,99,51,150,3.3,1300
2019,DG,ΔΓ,PH,86,53,139,3.33,2574
2019,DSP,ΔΣΦ,IFC,15,5,20,3.24,#N/A
2019,KDX,KΔX,PH,5,2,7,3.48,#N/A
2019,KKG,KKΓ,PH,77,42,119,3.28,1005
2019,KS,KΣ,IFC,36,32,68,2.75,#N/A
2019,ODP,ΩΔΦ,IFC,6,1,7,3.26,0
2019,PDT,ΦΔT,IFC,67,31,98,3.27,1032
2019,PhPB,ΠBΦ,PH,92,52,144,3.29,0
2019,PKA,ΠKA,IFC,62,36,98,3.15,6478
2019,SC,ΣX,IFC,128,36,164,3.09,#N/A
2019,SN,ΣN,IFC,34,14,48,2.94,#N/A
2019,SPE,ΣΦE,IFC,56,25,81,3.03,450
2019,TRI,TRI,IFC,23,8,31,2.92,205
2018,ACO,AXΩ,PH,57,47,104,3.08,1070
2018,AP,AΦ,PH,75,68,143,3.05,987
2018,ATO,ATΩ,IFC,50,5,55,3.14,578
2018,BTP,BΘΠ,IFC,62,21,83,3.23,0
2018,CO,XΩ,PH,95,53,148,3.35,#N/A
2018,DG,ΔΓ,PH,106,50,156,3.36,#N/A
2018,DSP,ΔΣΦ,IFC,15,6,21,3.01,#N/A
2018,DST,ΔΣΘ,PH,3,0,3,3.67,12
2018,KDX,KΔX,PH,10,2,12,3.34,73
2018,KKG,KKΓ,PH,85,57,142,3.35,#N/A
2018,KS,KΣ,IFC,47,13,60,3.01,#N/A
2018,ODP,ΩΔΦ,IFC,4,5,9,3.38,184
2018,PDT,ΦΔT,IFC,65,26,91,3.15,220
2018,PhPB,ΠBΦ,PH,91,55,146,3.31,1635
2018,PKA,ΠKA,IFC,56,31,87,3.03,#N/A
2018,SC,ΣX,IFC,91,65,156,3.22,80
2018,SN,ΣN,IFC,41,23,64,2.96,#N/A
2018,SPE,ΣΦE,IFC,65,26,91,3.13,300
2018,TRI,TRI,IFC,27,6,33,2.82,175
